source,title,url,published_at,section,author,summary,tags
lavanguardia,PP y Vox pactan un decreto para evitar que estar en funciones paralice Extremadura,https://www.lavanguardia.com/politica/20260313/11489029/pp-vox-pactan-decreto-evitar-funciones-paralice-extremadura.html,2026-03-13T11:11:08+00:00,Política,,"El gobierno extremeño está en funciones desde el pasado mes de diciembre, cuando se celebraron las elecciones",
lavanguardia,El Gobierno contesta a Pradales y Clavijo que con elecciones no puede reunir a presidentes,https://www.lavanguardia.com/politica/20260313/11489044/gobierno-contesta-pradales-clavijo-elecciones-reunir-presidentes.html,2026-03-13T11:09:53+00:00,Política,,"Pese a la negativa, Ángel Víctor Torres ha mostrado la predisposición del Ejecutivo a “colaborar” con las autonomías de manera “bilateral”",
lavanguardia,Mañueco condiciona negociar con Martínez a que diga que “Sánchez no merece gobernar”,https://www.lavanguardia.com/politica/20260313/11488994/manueco-condiciona-negociar-martinez-diga-sanchez-merece-gobernar.html,2026-03-13T10:08:39+00:00,Política,,El líder popular en Castilla y León ha añadido que cada voto que no vaya al PP es un “éxito para Sánchez”,
lavanguardia,El PNV plantea una amplia reforma de la Constitución con enmiendas a la ley del senador de Formentera,https://www.lavanguardia.com/politica/20260313/11488936/pnv-plantea-amplia-reforma-constitucion-enmiendas-ley-senador-formentera.html,2026-03-13T09:57:37+00:00,Política,,"Elimina el artículo 155, incorpora el derecho a decidir de pueblo vasco y limita la inviolabilidad del Rey",
lavanguardia,La segunda causa contra Errejón por agresión sexual se archivará al no ratificar la denuncia la presunta víctima,https://www.lavanguardia.com/politica/20260313/11488912/segunda-mujer-acuso-inigo-errejon-agresion-sexual-ratifica-denuncia-juzgado.html,2026-03-13T09:06:11+00:00,Política,,"El abogado de la mujer, cuya identidad no ha trascendido, asegura que su cliente no ha acudido al juzgado tras sufrir un ataque de pánico",
lavanguardia,"El PP enmienda la reforma del senador de Formentera para que en la Constitución no figure Eivissa, sino Ibiza",https://www.lavanguardia.com/politica/20260313/11488858/pp-enmienda-reforma-senador-formentera-constitucion-figure-eivissa-ibiza.html,2026-03-13T08:03:12+00:00,Política,,Vox critica el uso de la “lengua regional” y propone eliminar todos los apartados de la reforma que aprobó el Parlamento balear,
lavanguardia,"La carabela de Moreno navega rumbo a Génova, por Carlos Mármol",https://www.lavanguardia.com/politica/20260313/11488806/carabela-moreno-navega-rumbo-genova.html,2026-03-13T06:25:21+00:00,Política,,"Las conjeturas, más que en la intuición, se sustentan en una realidad que casi siempre tenemos al alcance de la vista. En política no existen los misterios. Si todo en ella es un embuste colosal se debe a que, a la hora de conquistar y gestionar el poder, la mentira es la",
lavanguardia,Carlos Martínez: “No podemos resignarnos: o más de lo mismo o un giro de guion”,https://www.lavanguardia.com/politica/20260313/11488458/carlos-martinez-resignarnos-mas-giro-guion.html,2026-03-13T05:00:00+00:00,Política,,Entrevista al candidato del PSOE a las elecciones de Castilla y León que se celebran este domingo,
lavanguardia,León vota entre el tizón y la ruina,https://www.lavanguardia.com/politica/20260313/11488454/leon-vota-tizon-ruina.html,2026-03-13T05:00:00+00:00,Política,,Los pueblos arrasados por el fuego en verano lamentan el abandono e inacción de la Junta,
lavanguardia,El cese de la embajadora enmaraña las relaciones entre España e Israel,https://www.lavanguardia.com/politica/20260313/11488449/cese-embajadora-enmaranalas-relaciones-espana-e-israel.html,2026-03-13T05:00:00+00:00,Política,,Albares responsabiliza a Tel Aviv de no haber respondido a los “esfuerzos españoles”,
lavanguardia,"Cop a la Unió, por Joan Esculies",https://www.lavanguardia.com/politica/20260313/11488414/cop-unio.html,2026-03-13T05:00:00+00:00,Política,,"El 1648, els tractats que van finalitzar les guerres europees del moment van establir un nou ordre internacional. La pau de Westfàlia va crear el sistema d’estats modern i en va reconèixer la sobirania i l’autoritat al seu territori, la no ingerència en els afers interns",
lavanguardia,"Golpe a la Unión, por Joan Esculies",https://www.lavanguardia.com/politica/20260313/11488407/golpe-union.html,2026-03-13T05:00:00+00:00,Política,,"En 1648, los tratados que finalizaron las guerras europeas del momento establecieron un nuevo orden internacional. La paz de Westfalia creó el sistema de estados moderno reconociendo su soberanía y autoridad en su territorio, la no injerencia en los asuntos internos de los",
